typus,et,note,compare,result
,,,A2-B2,"IF(D2=0,TRUE,FALSE)"
5642,4784,,858,FALSE
5641,3054,,2587,FALSE
5640,3028,,2612,FALSE
5639,3235,,2404,FALSE
5638,4276,,1362,FALSE
5637,3252,,2385,FALSE
5636,3259,,2377,FALSE
5635,2839,,2796,FALSE
5634,3100,,2534,FALSE
5633,3069,,2564,FALSE
5632,3018,,2614,FALSE
5631,3234,,2397,FALSE
5630,3233,,2397,FALSE
5629,3229,,2400,FALSE
5628,3230,,2398,FALSE
5627,3020,,2607,FALSE
5626,3064,,2562,FALSE
5625,3232,,2393,FALSE
5624,3023,,2601,FALSE
5623,3060,,2563,FALSE
5622,3102,,2520,FALSE
5621,3063,,2558,FALSE
5620,3231,,2389,FALSE
5619,3019,,2600,FALSE
5618,3103,,2515,FALSE
5617,3022,,2595,FALSE
5616,3033,,2583,FALSE
5615,3101,,2514,FALSE
5614,3062,,2552,FALSE
5613,3075,,2538,FALSE
5612,3076,,2536,FALSE
5611,3024,,2587,FALSE
5610,3032,,2578,FALSE
5609,3237,,2372,FALSE
5608,3021,,2587,FALSE
5607,3059,,2548,FALSE
5606,3016,,2590,FALSE
5605,3218,,2387,FALSE
5604,3222,,2382,FALSE
5603,3015,,2588,FALSE
5602,3221,,2381,FALSE
5601,3220,,2381,FALSE
5600,3219,,2381,FALSE
5599,3068,,2531,FALSE
5598,3223,,2375,FALSE
5597,3228,,2369,FALSE
5596,3065,,2531,FALSE
5595,3058,,2537,FALSE
5594,3227,,2367,FALSE
5593,3013,,2580,FALSE
5592,3014,,2578,FALSE
5591,3067,,2524,FALSE
5590,3224,,2366,FALSE
5589,3225,,2364,FALSE
5588,3012,,2576,FALSE
5587,3011,,2576,FALSE
5586,3066,,2520,FALSE
5585,3042,,2543,FALSE
5584,3262,,2322,FALSE
5583,3109,,2474,FALSE
5582,3111,,2471,FALSE
5581,3110,,2471,FALSE
5580,4927,,653,FALSE
5579,4926,,653,FALSE
5578,3099,,2479,FALSE
5577,3108,,2469,FALSE
5576,3107,,2469,FALSE
5575,3041,,2534,FALSE
5574,3106,,2468,FALSE
5573,4925,,648,FALSE
5572,3105,,2467,FALSE
5571,3040,,2531,FALSE
5570,4941,,629,FALSE
5569,3037,,2532,FALSE
5568,3038,,2530,FALSE
5567,3036,,2531,FALSE
5566,3079,,2487,FALSE
5565,3077,,2488,FALSE
5564,3034,,2530,FALSE
5563,3078,,2485,FALSE
5562,3035,,2527,FALSE
5561,3211,,2350,FALSE
5560,3212,,2348,FALSE
5559,4126,,1433,FALSE
5558,3250,,2308,FALSE
5557,3263,,2294,FALSE
5556,3244,,2312,FALSE
5555,3273,,2282,FALSE
5554,3007,,2547,FALSE
5553,3274,,2279,FALSE
5552,3269,,2283,FALSE
5551,3272,,2279,FALSE
5550,3260,,2290,FALSE
5549,3270,,2279,FALSE
5548,3010,,2538,FALSE
5547,3005,,2542,FALSE
5546,4170,,1376,FALSE
5545,3043,,2502,FALSE
5544,3046,,2498,FALSE
5543,3142,,2401,FALSE
5542,3053,,2489,FALSE
5541,3145,,2396,FALSE
5540,3045,,2495,FALSE
5539,3044,,2495,FALSE
5538,3056,,2482,FALSE
5537,3048,,2489,FALSE
5536,3122,,2414,FALSE
5535,3055,,2480,FALSE
5534,3052,,2482,FALSE
5533,3051,,2482,FALSE
5532,3050,,2482,FALSE
5531,3119,,2412,FALSE
5530,3144,,2386,FALSE
5529,3121,,2408,FALSE
5528,3120,,2408,FALSE
5527,3006,,2521,FALSE
5526,3248,,2278,FALSE
5525,3029,,2496,FALSE
5524,3049,,2475,FALSE
5523,4569,,954,FALSE
5522,3025,,2497,FALSE
5521,3253,,2268,FALSE
5520,3030,,2490,FALSE
5519,2471,,3048,FALSE
5518,4169,,1349,FALSE
5517,3251,,2266,FALSE
5516,2200,,3316,FALSE
5515,4168,,1347,FALSE
5514,3031,,2483,FALSE
5513,4562,,951,FALSE
5512,3236,,2276,FALSE
5511,3072,,2439,FALSE
5510,3027,,2483,FALSE
5509,2475,,3034,FALSE
5508,3074,,2434,FALSE
5507,4146,,1361,FALSE
5506,4154,,1352,FALSE
5505,3073,,2432,FALSE
5504,3026,,2478,FALSE
5503,2608,,2895,FALSE
5502,4172,,1330,FALSE
5501,4322,,1179,FALSE
5500,4321,,1179,FALSE
5499,none,,#VALUE!,#VALUE!
5498,none,,#VALUE!,#VALUE!
5497,none,,#VALUE!,#VALUE!
5496,none,,#VALUE!,#VALUE!
5495,none,,#VALUE!,#VALUE!
5494,none,,#VALUE!,#VALUE!
5493,none,,#VALUE!,#VALUE!
5492,none,,#VALUE!,#VALUE!
5491,none,,#VALUE!,#VALUE!
5490,none,,#VALUE!,#VALUE!
5489,none,,#VALUE!,#VALUE!
5488,none,,#VALUE!,#VALUE!
5487,none,,#VALUE!,#VALUE!
5486,none,,#VALUE!,#VALUE!
5485,none,,#VALUE!,#VALUE!
5484,none,,#VALUE!,#VALUE!
5483,none,,#VALUE!,#VALUE!
5482,none,,#VALUE!,#VALUE!
5481,none,,#VALUE!,#VALUE!
5480,none,,#VALUE!,#VALUE!
5479,none,,#VALUE!,#VALUE!
5478,none,,#VALUE!,#VALUE!
5477,none,,#VALUE!,#VALUE!
5476,none,,#VALUE!,#VALUE!
5475,none,,#VALUE!,#VALUE!
5474,none,,#VALUE!,#VALUE!
5473,none,,#VALUE!,#VALUE!
5472,none,,#VALUE!,#VALUE!
5471,none,,#VALUE!,#VALUE!
5470,none,,#VALUE!,#VALUE!
5469,none,,#VALUE!,#VALUE!
5468,none,,#VALUE!,#VALUE!
5467,none,,#VALUE!,#VALUE!
5466,none,,#VALUE!,#VALUE!
5465,none,,#VALUE!,#VALUE!
5464,none,,#VALUE!,#VALUE!
5463,none,,#VALUE!,#VALUE!
5462,none,,#VALUE!,#VALUE!
5461,none,,#VALUE!,#VALUE!
5460,none,,#VALUE!,#VALUE!
5459,none,,#VALUE!,#VALUE!
5458,none,,#VALUE!,#VALUE!
5457,none,,#VALUE!,#VALUE!
5456,none,,#VALUE!,#VALUE!
5455,none,,#VALUE!,#VALUE!
5454,none,,#VALUE!,#VALUE!
5453,none,,#VALUE!,#VALUE!
5452,none,,#VALUE!,#VALUE!
5451,none,,#VALUE!,#VALUE!
5450,none,,#VALUE!,#VALUE!
5449,none,,#VALUE!,#VALUE!
5448,none,,#VALUE!,#VALUE!
5447,none,,#VALUE!,#VALUE!
5446,none,,#VALUE!,#VALUE!
5445,none,,#VALUE!,#VALUE!
5444,none,,#VALUE!,#VALUE!
5443,none,,#VALUE!,#VALUE!
5442,none,,#VALUE!,#VALUE!
5441,none,,#VALUE!,#VALUE!
5440,none,,#VALUE!,#VALUE!
5439,none,,#VALUE!,#VALUE!
5438,none,,#VALUE!,#VALUE!
5437,none,,#VALUE!,#VALUE!
5436,none,,#VALUE!,#VALUE!
5435,none,,#VALUE!,#VALUE!
5434,none,,#VALUE!,#VALUE!
5433,none,,#VALUE!,#VALUE!
5432,none,,#VALUE!,#VALUE!
5431,none,,#VALUE!,#VALUE!
5430,none,,#VALUE!,#VALUE!
5429,none,,#VALUE!,#VALUE!
5428,none,,#VALUE!,#VALUE!
5427,none,,#VALUE!,#VALUE!
5426,none,,#VALUE!,#VALUE!
5425,none,,#VALUE!,#VALUE!
5424,none,,#VALUE!,#VALUE!
5423,none,,#VALUE!,#VALUE!
5422,none,,#VALUE!,#VALUE!
5421,none,,#VALUE!,#VALUE!
5420,none,,#VALUE!,#VALUE!
5419,none,,#VALUE!,#VALUE!
5418,none,,#VALUE!,#VALUE!
5417,none,,#VALUE!,#VALUE!
5416,none,,#VALUE!,#VALUE!
5415,none,,#VALUE!,#VALUE!
5414,none,,#VALUE!,#VALUE!
5413,none,,#VALUE!,#VALUE!
5412,none,,#VALUE!,#VALUE!
5411,none,,#VALUE!,#VALUE!
5410,none,,#VALUE!,#VALUE!
5409,none,,#VALUE!,#VALUE!
5408,none,,#VALUE!,#VALUE!
5407,none,,#VALUE!,#VALUE!
5406,none,,#VALUE!,#VALUE!
5405,none,,#VALUE!,#VALUE!
5404,none,,#VALUE!,#VALUE!
5403,none,,#VALUE!,#VALUE!
5402,none,,#VALUE!,#VALUE!
5401,none,,#VALUE!,#VALUE!
5400,none,,#VALUE!,#VALUE!
5399,none,,#VALUE!,#VALUE!
5398,none,,#VALUE!,#VALUE!
5397,none,,#VALUE!,#VALUE!
5396,none,,#VALUE!,#VALUE!
5395,none,,#VALUE!,#VALUE!
5394,none,,#VALUE!,#VALUE!
5393,none,,#VALUE!,#VALUE!
5392,none,,#VALUE!,#VALUE!
5391,none,,#VALUE!,#VALUE!
5390,none,,#VALUE!,#VALUE!
5389,none,,#VALUE!,#VALUE!
5388,none,,#VALUE!,#VALUE!
5387,none,,#VALUE!,#VALUE!
5386,none,,#VALUE!,#VALUE!
5385,none,,#VALUE!,#VALUE!
5384,none,,#VALUE!,#VALUE!
5383,none,,#VALUE!,#VALUE!
5382,none,,#VALUE!,#VALUE!
5381,none,,#VALUE!,#VALUE!
5380,none,,#VALUE!,#VALUE!
5379,none,,#VALUE!,#VALUE!
5378,none,,#VALUE!,#VALUE!
5377,none,,#VALUE!,#VALUE!
5376,none,,#VALUE!,#VALUE!
5375,none,,#VALUE!,#VALUE!
5374,none,,#VALUE!,#VALUE!
5373,none,,#VALUE!,#VALUE!
5372,none,,#VALUE!,#VALUE!
5371,none,,#VALUE!,#VALUE!
5370,none,,#VALUE!,#VALUE!
5369,none,,#VALUE!,#VALUE!
5368,none,,#VALUE!,#VALUE!
5367,none,,#VALUE!,#VALUE!
5366,none,,#VALUE!,#VALUE!
5365,none,,#VALUE!,#VALUE!
5364,none,,#VALUE!,#VALUE!
5363,none,,#VALUE!,#VALUE!
5362,none,,#VALUE!,#VALUE!
5361,none,,#VALUE!,#VALUE!
5360,none,,#VALUE!,#VALUE!
5359,none,,#VALUE!,#VALUE!
5358,none,,#VALUE!,#VALUE!
5357,none,,#VALUE!,#VALUE!
5356,none,,#VALUE!,#VALUE!
5355,none,,#VALUE!,#VALUE!
5354,none,,#VALUE!,#VALUE!
5353,none,,#VALUE!,#VALUE!
5352,none,,#VALUE!,#VALUE!
5351,none,,#VALUE!,#VALUE!
5350,none,,#VALUE!,#VALUE!
5349,none,,#VALUE!,#VALUE!
5348,none,,#VALUE!,#VALUE!
5347,none,,#VALUE!,#VALUE!
5346,none,,#VALUE!,#VALUE!
5345,none,,#VALUE!,#VALUE!
5344,none,,#VALUE!,#VALUE!
5343,none,,#VALUE!,#VALUE!
5342,none,,#VALUE!,#VALUE!
5341,none,,#VALUE!,#VALUE!
5340,none,,#VALUE!,#VALUE!
5339,none,,#VALUE!,#VALUE!
5338,none,,#VALUE!,#VALUE!
5337,none,,#VALUE!,#VALUE!
